smiles,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0,0,1,,,0,0,1,0,0,0,0
CCN1C(=O)NC(c2ccccc2)C1=O,0,0,0,0,0,0,0,,0,,0,0
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,,,,,,,,0,,0,,
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0,0,0,0,0,0,0,,0,,0,0
CC(O)(P(=O)(O)O)P(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0,0,0,0,0,0,0,,0,0,0,0
O=S(=O)(Cl)c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0,,0,,1,,,1,0,1,0,1
OC[C@H](O)[C@@H](O)[C@H](O)CO,0,0,0,0,0,0,0,0,0,0,,0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],,,,,,,,0,,0,,
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0,0,0,,0,0,0,,0,,,0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0,0,,,0,0,0,0,0,0,0,0
CC(C)COC(=O)C(C)C,0,0,0,0,0,0,0,0,0,0,0,0
C=C(C)C(=O)OCCOC(=O)C(=C)C,0,0,0,0,0,0,0,0,0,0,0,0
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0,0,0,,0,0,,1,0,0,0,
O=C([O-])Cc1cccc2ccccc12,0,0,0,0,0,0,1,0,0,0,0,0
